entry_time,ret,bin,side,t1,bars_held,trgt,prob,confident,size,pnl,entry_equity,halted,skipped_capacity
2024-09-17 15:00:00+00:00,-0.010176578261497088,0,1.0,2024-09-17 18:30:00+00:00,7,0.00674998139690706,0.5999999999999999,True,0.09923817777032845,-0.0011559874804340463,1.0,False,False
2024-09-22 23:00:00+00:00,-0.007443495430871386,0,1.0,2024-09-23 00:00:00+00:00,2,0.00494390748419402,0.5999999999999999,True,0.09929999999999986,-0.000875415019770696,0.998844012519566,False,False
2024-09-23 03:00:00+00:00,-0.009191811427242307,0,1.0,2024-09-23 04:00:00+00:00,2,0.006099797244531199,0.6086956521739131,True,0.10795904966774343,-0.0011468382836261708,0.9979696094685984,False,False
2024-09-30 09:00:00+00:00,0.006148638571791107,1,-1.0,2024-09-30 09:30:00+00:00,1,0.004111720167921799,0.5999999999999999,True,0.09929999999999986,0.0004734207190119612,0.9968250997145643,False,False
2024-10-01 21:30:00+00:00,-0.012688650923926563,0,-1.0,2024-10-02 07:30:00+00:00,20,0.008405659598798989,0.5999999999999999,True,0.09917395635504628,-0.0014142778100639801,0.9972970173700004,False,False
2024-10-01 22:30:00+00:00,-0.012009430125394165,0,-1.0,2024-10-02 01:30:00+00:00,6,0.00795840315619137,0.5999999999999999,True,0.09919130479975341,-0.0013445376539731346,0.9972970173700004,False,False
2024-10-21 15:00:00+00:00,-0.0069781031925122815,0,-1.0,2024-10-21 17:00:00+00:00,4,0.0046358751757618975,0.5999999999999999,True,0.09929999999999986,-0.0008295336074297308,0.994545658936242,False,False
2024-11-10 04:30:00+00:00,0.007843564817510166,1,1.0,2024-11-10 05:00:00+00:00,1,0.00524960410309496,0.6086956521739131,True,0.10799202745699248,0.0006984013661614492,0.9937206498880311,False,False
2024-11-10 05:00:00+00:00,-0.008626025798249969,0,1.0,2024-11-10 06:00:00+00:00,2,0.00572595225473508,0.5999999999999999,True,0.0992778984121327,-0.0009960682155544921,0.9944146657474957,False,False
2024-11-10 05:30:00+00:00,0.009030882757696146,1,1.0,2024-11-10 11:00:00+00:00,11,0.006047856141389441,0.5999999999999999,True,0.09926541221574374,0.0007546760809191454,0.9944146657474957,False,False
2024-11-14 15:30:00+00:00,-0.016068094206369735,0,-1.0,2024-11-14 17:30:00+00:00,4,0.010626460687987685,0.5999999999999999,True,0.09908781462240468,-0.0017602020613082343,0.9941746218686183,False,False
