entry_time,ret,bin,side,t1,bars_held,trgt,prob,confident,size,pnl,entry_equity,halted,skipped_capacity
2024-09-23 03:00:00+00:00,-0.009191811427242307,0,1.0,2024-09-23 04:00:00+00:00,2,0.006099797244531199,0.6403508771929823,True,0.1396142746868127,-0.001483108601310493,1.0,False,False
2024-11-06 03:00:00+00:00,0.014767331531190125,1,1.0,2024-11-06 06:00:00+00:00,6,0.009917938191702178,0.6403508771929823,True,0.13946617440072212,0.0018280531184729264,0.9985168913986895,False,False
2024-11-10 04:30:00+00:00,0.007843564817510166,1,1.0,2024-11-10 05:00:00+00:00,1,0.00524960410309496,0.6403508771929823,True,0.13964725247606175,0.000903120667392001,1.0003422333158587,False,False
2024-12-30 14:30:00+00:00,-0.007626973513344875,0,-1.0,2024-12-30 17:30:00+00:00,6,0.005065307969673172,0.6403508771929823,True,0.13965087719298233,-0.0012565732798963743,1.0012456630612314,False,False
2025-01-06 14:30:00+00:00,0.008050381945883315,1,1.0,2025-01-06 15:00:00+00:00,1,0.005388582267759838,0.6403508771929823,True,0.13964186170965684,0.000930691005623359,0.9999875245144165,False,False
2025-01-06 15:00:00+00:00,0.008682383637476747,1,1.0,2025-01-07 00:30:00+00:00,19,0.0058134565684268506,0.6403508771929823,True,0.13962538143657316,0.0010149638928088447,1.0009182039092177,False,False
2025-01-26 23:00:00+00:00,0.004917662597962699,1,-1.0,2025-01-26 23:30:00+00:00,1,0.003286516097359995,0.6403508771929823,True,0.13965087719298233,0.0004929360557875822,1.0019340997458406,False,False
2025-01-27 03:00:00+00:00,0.008446238427867164,1,-1.0,2025-01-27 04:00:00+00:00,2,0.005654672357570476,0.6403508771929823,True,0.13963154045149165,0.0009834717234186465,1.0024279891891283,False,False
2025-01-27 04:00:00+00:00,0.008699135514988294,1,-1.0,2025-01-27 05:30:00+00:00,3,0.005824721967438265,0.6403508771929823,True,0.13962494446768187,0.0010171980889501896,1.0034138487712592,False,False
2025-02-03 05:00:00+00:00,-0.020304999210965097,0,-1.0,2025-02-03 08:00:00+00:00,6,0.013400160619048092,0.6403508771929823,True,0.1393311039188157,-0.0030847610296851967,1.0044345194206554,False,False
2025-02-03 05:30:00+00:00,-0.019636373490057993,0,-1.0,2025-02-03 14:30:00+00:00,18,0.01296322377316885,0.6403508771929823,True,0.13934805208096412,-0.0029890834240963136,1.0044345194206554,False,False
2025-02-16 23:00:00+00:00,-0.004210680520380506,0,-1.0,2025-02-17 02:00:00+00:00,6,0.0028012186896755552,0.6403508771929823,True,0.13965087719298233,-0.0007823001989040224,0.9983337403856855,False,False
2025-02-25 10:00:00+00:00,-0.015263356528349793,0,-1.0,2025-02-25 11:30:00+00:00,3,0.010098307932232289,0.6403508771929823,True,0.13945917811364308,-0.0023611638283100927,0.9975527437020091,False,False
