entry_time,side,ret,t1,prob,confident,size,pnl,entry_equity,bars_held,bin,halted,skipped_capacity
2022-09-14 01:00:00+00:00,-1.0,0.013938442836940549,2022-09-14 18:00:00+00:00,1.0,True,0.3,0.0037908107506833912,1.0,34,1,False,False
2022-09-14 02:30:00+00:00,-1.0,0.013210739429986428,2022-09-14 07:30:00+00:00,1.0,True,0.3,0.0035695160354925573,1.0,10,1,False,False
2022-09-21 22:00:00+00:00,-1.0,-0.024752346723670403,2022-09-22 04:00:00+00:00,0.625,True,0.1243,-0.003212970957084794,1.007360326786176,12,0,False,False
2022-11-20 08:30:00+00:00,-1.0,-0.0038419781326780827,2022-11-20 10:30:00+00:00,0.6666666666666666,True,0.16596666666666662,-0.00086877030454192,1.0041237073128926,4,0,False,False
2022-11-30 02:00:00+00:00,1.0,-0.008535470076721936,2022-11-30 03:30:00+00:00,0.5795928093039137,True,0.07889280930391365,-0.0007809714670060368,1.0032513544538926,3,0,False,False
2022-12-07 07:00:00+00:00,-1.0,0.005081092421039037,2022-12-07 07:30:00+00:00,0.625,True,0.1243,0.00045916706666290666,1.0024678437718288,1,1,False,False
2022-12-22 14:30:00+00:00,-1.0,0.0035575466601254296,2022-12-22 15:30:00+00:00,0.625,True,0.1243,0.00026897056243913936,1.0029281439910775,2,1,False,False
2023-01-12 05:30:00+00:00,1.0,0.007524371650703822,2023-01-12 12:00:00+00:00,0.625,True,0.1243,0.0007647869330185053,1.0031979021380528,13,1,False,False
2023-01-25 21:30:00+00:00,1.0,-0.010709258183892262,2023-01-25 22:00:00+00:00,0.6666666666666666,True,0.16596666666666662,-0.0020002498898779707,1.0039651347848395,1,0,False,False
2023-01-25 22:00:00+00:00,1.0,-0.012862115263679624,2023-01-25 22:30:00+00:00,0.6666666666666666,True,0.16596666666666662,-0.002353366133813993,1.0019569536345447,1,0,False,False
2023-01-25 23:00:00+00:00,1.0,-0.004185712273927742,2023-01-26 23:00:00+00:00,0.625,True,0.1243,-0.0006932166736694146,0.9995989820723218,48,0,False,False
2023-04-17 00:00:00+00:00,-1.0,0.00475213626242834,2023-04-17 00:30:00+00:00,0.6986811665403468,True,0.19798116654034684,0.0006658988774081349,0.9989060433909662,1,1,False,False
2023-04-17 00:30:00+00:00,-1.0,-0.005644617430560463,2023-04-17 02:30:00+00:00,0.5909090909090909,True,0.09020909090909093,-0.0006340541266125765,0.9995712138038965,4,0,False,False
2023-05-31 04:30:00+00:00,-1.0,0.005858920955076395,2023-05-31 05:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.00040378653571077294,0.998937431550941,1,1,False,False
2023-06-20 17:30:00+00:00,1.0,0.009061465383377395,2023-06-20 18:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.0006948485803706759,0.9993407890358187,1,1,False,False
2023-07-20 14:30:00+00:00,-1.0,0.0057291353948224245,2023-07-20 18:00:00+00:00,0.6666666666666666,True,0.16596666666666662,0.0007212211414022032,1.0000351795643867,7,1,False,False
2023-08-18 02:30:00+00:00,-1.0,0.015886283868043277,2023-08-18 14:30:00+00:00,0.875,True,0.3,0.0043839425256400255,1.0007564260780344,24,1,False,False
2023-08-18 08:30:00+00:00,-1.0,0.010856376532112933,2023-08-18 13:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.0008583864831450279,1.0007564260780344,9,1,False,False
2023-08-18 21:30:00+00:00,-1.0,0.00995274162955443,2023-08-19 07:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.0007760178307686131,1.0060027205211912,19,1,False,False
2023-08-22 21:00:00+00:00,-1.0,-0.007686519977720394,2023-08-22 22:30:00+00:00,0.625,True,0.1243,-0.0011257918405067145,1.0067833965701174,3,0,False,False
2023-08-28 19:00:00+00:00,-1.0,-0.004233950031148543,2023-08-28 23:00:00+00:00,0.625,True,0.1243,-0.0006991874379995642,1.0056499680371012,8,0,False,False
2023-08-29 14:30:00+00:00,1.0,0.00963733164330387,2023-08-29 16:00:00+00:00,1.0,True,0.3,0.0024851760800912873,1.004946830212425,3,1,False,False
2023-08-29 19:30:00+00:00,1.0,-0.010888549859473297,2023-08-30 01:00:00+00:00,0.625,True,0.1243,-0.0015201248829175946,1.0074443000366324,11,0,False,False
2023-08-29 20:30:00+00:00,1.0,-0.010845236082467064,2023-08-30 13:30:00+00:00,0.625,True,0.1243,-0.0015147991699849086,1.0074443000366324,34,0,False,False
2023-09-11 09:00:00+00:00,-1.0,0.003803766927774171,2023-09-11 14:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.00021749505910606092,1.0043867830984918,10,1,False,False
2023-09-11 14:00:00+00:00,-1.0,0.00625610114539345,2023-09-11 14:30:00+00:00,0.625,True,0.1243,0.0006060509294381929,1.004605232261247,1,1,False,False
2023-09-11 14:30:00+00:00,-1.0,0.007848450119135422,2023-09-11 20:00:00+00:00,0.875,True,0.3,0.0019437989811432056,1.0052140741959774,11,1,False,False
2023-10-29 01:00:00+00:00,1.0,0.003208544388557866,2023-10-29 06:30:00+00:00,1.0,True,0.3,0.0005441091830162151,1.0071680082892303,11,1,False,False
2023-10-29 08:30:00+00:00,1.0,0.0029169511068208574,2023-10-29 12:00:00+00:00,1.0,True,0.3,0.00045636286447474453,1.0077160176513806,7,1,False,False
2024-04-13 22:30:00+00:00,-1.0,0.0230961293879359,2024-04-14 03:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.00198143458658444,1.0081759018197731,9,1,False,False
2024-04-17 16:00:00+00:00,-1.0,-0.016851420714044534,2024-04-17 18:00:00+00:00,0.5909090909090909,True,0.09020909090909093,-0.0016337073597421728,1.0101735364209998,4,0,False,False
2024-04-17 17:00:00+00:00,-1.0,-0.01719056666556136,2024-04-17 18:00:00+00:00,1.0,True,0.3,-0.005533095578465965,1.0101735364209998,2,0,False,False
2025-01-20 17:30:00+00:00,-1.0,0.02720189970996628,2025-01-21 01:30:00+00:00,0.5909090909090909,True,0.09020909090909093,0.0023612454135289373,1.0029338217520776,16,1,False,False
2025-01-20 18:00:00+00:00,-1.0,0.026504198265983044,2025-01-21 01:00:00+00:00,0.5909090909090909,True,0.09020909090909093,0.0022965933981133587,1.0029338217520776,14,1,False,False
2025-01-26 23:00:00+00:00,-1.0,0.004917662597962698,2025-01-26 23:30:00+00:00,1.0,True,0.3,0.00105893224381197,1.007605325832543,1,1,False,False
2025-02-27 00:30:00+00:00,-1.0,-0.017246186555640215,2025-02-27 06:30:00+00:00,0.5666666666666667,True,0.06596666666666665,-0.0012202726631581617,1.0086723116011038,12,0,False,False
2025-02-27 01:00:00+00:00,-1.0,-0.0173707065614352,2025-02-27 06:30:00+00:00,0.5882352941176471,True,0.08753529411764707,-0.0016299689444127506,1.0086723116011038,11,0,False,False
2025-06-20 17:00:00+00:00,-1.0,-0.007280162336339696,2025-06-20 20:00:00+00:00,0.5666666666666667,True,0.06596666666666665,-0.0005708574681420175,1.0057973518101735,6,0,False,False
2025-07-30 18:30:00+00:00,-1.0,0.0059354899037176645,2025-07-30 19:00:00+00:00,1.0,True,0.3,0.0013659419480852345,1.0052231848804551,1,1,False,False
2025-09-22 13:00:00+00:00,-1.0,0.004713126443048455,2025-09-22 13:30:00+00:00,0.5882352941176471,True,0.08753529411764707,0.00029098926215725886,1.0065962613958712,1,1,False,False
2025-09-22 15:00:00+00:00,-1.0,0.005410215268138467,2025-09-22 19:30:00+00:00,0.5882352941176471,True,0.08753529411764707,0.0003523187842547178,1.006889170099265,9,1,False,False
2025-10-10 19:30:00+00:00,-1.0,0.008953027190145816,2025-10-10 20:30:00+00:00,0.5666666666666667,True,0.06596666666666665,0.000500899769796017,1.0072439160675537,2,1,False,False
2025-10-10 22:00:00+00:00,-1.0,0.012663773739637858,2025-10-11 22:00:00+00:00,0.5666666666666667,True,0.06596666666666665,0.0007483455828281148,1.0077484443132403,48,1,False,False
2025-10-10 22:30:00+00:00,-1.0,0.028225983542317222,2025-10-11 07:30:00+00:00,0.9,True,0.3,0.008168433354724945,1.0077484443132403,18,1,False,False
2025-11-03 03:00:00+00:00,-1.0,0.006078135514751486,2025-11-03 05:30:00+00:00,0.5882352941176471,True,0.08753529411764707,0.00041112218937803223,1.0167343144158445,5,1,False,False
2025-11-20 16:30:00+00:00,-1.0,0.012547468735507043,2025-11-20 17:00:00+00:00,0.6464901657187686,True,0.1457901657187686,0.001636715992583237,1.0171523164532028,1,1,False,False
2025-11-20 17:00:00+00:00,-1.0,0.01347956136415174,2025-11-21 02:30:00+00:00,0.9,True,0.3,0.0036512460700800034,1.0188171059164348,19,1,False,False
2025-12-01 08:30:00+00:00,-1.0,0.007417142870873726,2025-12-01 11:30:00+00:00,1.0,True,0.3,0.0018134154027431109,1.0225370578705424,6,1,False,False
