timestamp,cal_prob,raw_prob,label_bin,side,ret,size,pnl,win
2024-10-01 20:00:00+00:00,0.5213595826251644,0.5434548728165719,0,-1.0,-0.012817935872650586,0.020634508822619746,-0.0002927269943630586,False
2024-10-01 21:30:00+00:00,0.5229988389161428,0.5467322933254792,0,-1.0,-0.012688650923926563,0.022276020892565165,-0.000313069992047434,False
2024-10-01 22:30:00+00:00,0.5243611904884501,0.549456839665413,0,-1.0,-0.012009430125394165,0.02365022838116343,-0.00031595591070531236,False
2024-10-02 01:30:00+00:00,0.5196330645085241,0.5400039797548414,1,-1.0,0.010144733225397766,0.01893306450852409,0.00016654215511677795,True
2024-10-14 03:30:00+00:00,0.5237637751502384,0.5482619908864543,0,1.0,-0.0075370394613849204,0.02306377515023842,-0.0002054684198460769,False
2024-10-21 02:30:00+00:00,0.5185906841486222,0.5379209719566856,1,1.0,0.005418232972076834,0.017890684148622195,7.215202250790503e-05,True
2024-11-06 02:00:00+00:00,0.5206702965663753,0.5420770386379192,1,1.0,0.012784115472655748,0.019942924589554652,0.00022757744080554633,True
2024-11-06 02:30:00+00:00,0.5251713349859747,0.5510773766469567,1,1.0,0.01308013847025578,0.02443866358031118,0.00028594983443484806,True
2024-11-06 03:00:00+00:00,0.521171388410669,0.5430786699520416,1,1.0,0.014767331531190125,0.020408482762413107,0.0002724756123924909,True
2024-11-10 04:30:00+00:00,0.5262497895540066,0.553235028661135,1,1.0,0.007843564817510166,0.025549789554006587,0.00016541971473828145,True
2024-11-10 05:00:00+00:00,0.5245773842071015,0.5498892678373668,0,1.0,-0.008626025798249969,0.02387738420710154,-0.00023850948079668418,False
2024-11-10 05:30:00+00:00,0.520132341771934,0.5410018145380937,1,1.0,0.009030882757696146,0.019432341771934016,0.0001490807328097479,True
2024-11-25 14:30:00+00:00,0.5193946678713437,0.5395275579121706,1,-1.0,0.008312472217522175,0.018694667871343697,0.0001298740401561864,True
2025-01-06 15:00:00+00:00,0.5236069894272675,0.5479484373603065,1,1.0,0.008682383637476747,0.022906989427267467,0.00016768339702507635,True
2025-01-19 23:00:00+00:00,0.5250650918275438,0.550864842892732,0,-1.0,-0.01733146504233573,0.024261447976176326,-0.0004558587014969354,False
2025-01-26 23:00:00+00:00,0.5188437732798743,0.5384266941934707,1,-1.0,0.004917662597962699,0.0181437732798743,6.404342183490987e-05,True
2025-02-03 01:30:00+00:00,0.5247009369171569,0.5501364048008017,1,-1.0,0.01923305324052414,0.02385775958632861,0.0004230659580788764,True
2025-02-03 04:00:00+00:00,0.5253693167256164,0.5514734407020414,0,-1.0,-0.02127582671462638,0.02449730047738792,-0.0005584190370942618,False
2025-02-03 04:30:00+00:00,0.5247054189800406,0.5501453701843593,0,-1.0,-0.02090259940919688,0.023839860786867534,-0.0005344126919732754,False
2025-02-03 05:00:00+00:00,0.5279930663248171,0.5567238282114844,0,-1.0,-0.020304999210965097,0.027137853593482343,-0.0005918946713018023,False
2025-02-03 05:30:00+00:00,0.5269011984508283,0.5545385312663897,0,-1.0,-0.019636373490057993,0.026057568082933597,-0.0005506510405619687,False
2025-02-16 23:00:00+00:00,0.5232376021935385,0.5472097417861816,0,-1.0,-0.004210680520380506,0.022537602193538543,-0.00012625177179847265,False
2025-02-24 23:30:00+00:00,0.520976039130815,0.5426881767168803,0,-1.0,-0.010653023515721963,0.020276039130815028,-0.00024324111862739978,False
2025-02-25 02:00:00+00:00,0.5236960655177638,0.5481265782148551,1,-1.0,0.011351308175392531,0.02299432161808496,0.0002302304369079766,True
2025-02-25 07:00:00+00:00,0.5205004469581037,0.5417375456207927,1,-1.0,0.012111839657250165,0.01978510429481121,0.00021278483348072155,True
2025-02-25 13:30:00+00:00,0.5238765488655616,0.5484875312160837,1,-1.0,0.013620566191685439,0.023134198629764843,0.0002829092305113213,True
2025-02-26 18:00:00+00:00,0.5188430349772266,0.5384252188905027,1,-1.0,0.015302029493474928,0.018070536973307884,0.0002507234419331561,True
2025-02-26 20:00:00+00:00,0.521835520560381,0.5444063337289297,0,-1.0,-0.01918829802110589,0.02099965637801619,-0.00043421205497088864,False
2025-02-26 20:30:00+00:00,0.5193599224047215,0.5394581225925259,0,-1.0,-0.01948116791660803,0.018518981714928197,-0.00038842670795021384,False
2025-03-02 16:30:00+00:00,0.5202779835328224,0.5412929031597603,1,1.0,0.014795134500692546,0.01951457923223802,0.00026107220114279453,True
2025-03-02 17:00:00+00:00,0.5200024748784725,0.5407422603106414,1,1.0,0.016118720974032993,0.019215315718155837,0.00028198495097076664,True
2025-03-02 17:30:00+00:00,0.5188020119531501,0.5383432454630295,0,1.0,-0.017641334165999126,0.017992986998610568,-0.0003437503805617463,False
2025-03-02 18:00:00+00:00,0.5256865184681878,0.5521080386410057,0,1.0,-0.01791596253329114,0.024872725785465125,-0.0004821331955440252,False
2025-03-02 18:30:00+00:00,0.5260951808680953,0.552925675173883,1,1.0,0.017800270095037797,0.02527779698787415,0.0004126567836308222,True
2025-03-02 20:30:00+00:00,0.5217856514740353,0.544306635348622,0,1.0,-0.01603070919222129,0.02100461439571568,-0.00036684507354714036,False
2025-03-10 19:30:00+00:00,0.5198101151672821,0.5403578167700477,1,-1.0,0.019390167476793223,0.01896410716330707,0.0003392178446621383,True
2025-04-06 19:30:00+00:00,0.5178904710477896,0.5365219059477904,1,-1.0,0.010084614718502407,0.017190471047789625,0.00015016969448674436,True
2025-04-06 23:30:00+00:00,0.5191585182080003,0.5390556439168334,1,-1.0,0.014023110621776552,0.018408955173151716,0.00023237199946125282,True
2025-04-07 08:00:00+00:00,0.5225090638612869,0.5457529689474014,0,-1.0,-0.017446252938281982,0.02170342644000865,-0.0004103298220441068,False
2025-04-09 23:00:00+00:00,0.5203266496627822,0.541390171826971,0,1.0,-0.014823984593400657,0.01956661143104519,-0.0003176585894358016,False
2025-04-21 01:00:00+00:00,0.5220446754792282,0.5448244861754792,1,1.0,0.006225012088249788,0.02134467547922817,0.0001034027380494885,True
