entry_time,ret,bin,side,t1,bars_held,trgt,prob,confident,size,pnl,entry_equity,halted,skipped_capacity
2022-09-14 01:00:00+00:00,0.013938442836940549,1,-1.0,2022-09-14 18:00:00+00:00,34,0.009357357223740936,0.6285240464344941,True,0.1278240464344941,0.0016151892313991108,1.0,False,False
2022-09-14 02:30:00+00:00,0.013210739429986428,1,-1.0,2022-09-14 07:30:00+00:00,10,0.008865591189983464,0.6285240464344941,True,0.1278240464344941,0.00152089994489824,1.0,False,False
2022-09-19 10:30:00+00:00,-0.011885475840018984,0,-1.0,2022-09-19 13:30:00+00:00,6,0.007876748383492255,0.6285240464344941,True,0.1278240464344941,-0.0016892104416948075,1.0031360891762975,False,False
2022-09-19 11:00:00+00:00,-0.012186800839612011,0,-1.0,2022-09-19 12:30:00+00:00,3,0.008075228350361077,0.6285240464344941,True,0.1278240464344941,-0.0017272662104468317,1.0031360891762975,False,False
2022-09-19 12:30:00+00:00,-0.011720942506412094,0,-1.0,2022-09-19 13:30:00+00:00,2,0.007768346564478735,0.6285240464344941,True,0.1278240464344941,-0.0016684259029740517,1.0014034061049835,False,False
2022-09-19 14:00:00+00:00,0.013521242776226286,1,-1.0,2022-09-19 17:30:00+00:00,7,0.009075378784730496,0.6285240464344941,True,0.1278240464344941,0.0015611237937767416,0.9980381307666341,False,False
2022-09-21 17:30:00+00:00,-0.012287203715029272,0,1.0,2022-09-21 18:00:00+00:00,1,0.008141349505060649,0.6285240464344941,True,0.1278240464344941,-0.0017399440207697642,0.9995961918396703,False,False
2022-10-07 12:30:00+00:00,0.00938251111785101,1,-1.0,2022-10-07 16:00:00+00:00,7,0.006284443238825668,0.6285240464344941,True,0.1278240464344941,0.001026000781553587,0.9978569504224947,False,False
2022-10-10 08:00:00+00:00,-0.005358003440764036,0,-1.0,2022-10-10 09:30:00+00:00,3,0.0035624499616433263,0.6285240464344941,True,0.1278240464344941,-0.0008620038189847825,0.9988807524335068,False,False
2022-10-13 10:00:00+00:00,0.005043215443542569,1,-1.0,2022-10-13 10:30:00+00:00,1,0.00337063590649151,0.6285240464344941,True,0.1278240464344941,0.0004673188159294194,0.9980197134101988,False,False
2022-10-25 22:00:00+00:00,0.010886976506170204,1,1.0,2022-10-26 01:30:00+00:00,7,0.007297636857968745,0.6285240464344941,True,0.1278240464344941,0.001220266543884321,0.9984861068009439,False,False
2022-10-31 13:30:00+00:00,-0.007891320966469358,0,-1.0,2022-10-31 16:00:00+00:00,5,0.005240177489653984,0.6285240464344941,True,0.1278240464344941,-0.0011836847011520765,0.9997045259916063,False,False
2022-11-08 16:00:00+00:00,-0.014913576465231036,0,-1.0,2022-11-08 16:30:00+00:00,1,0.009868613241302488,0.6285240464344941,True,0.1278240464344941,-0.0020711227808087565,0.9985211910385176,False,False
2022-11-08 16:30:00+00:00,0.016458546248540398,1,-1.0,2022-11-08 17:00:00+00:00,1,0.01106315616475319,0.6285240464344941,True,0.1278240464344941,0.0019422524159649125,0.9964531310526374,False,False
2022-11-08 21:00:00+00:00,0.038221625207926706,1,-1.0,2022-11-09 10:00:00+00:00,26,0.025974311610607082,0.6285240464344941,True,0.1278240464344941,0.004801258755119103,0.9983884945538203,False,False
2022-11-08 21:30:00+00:00,0.03735177508068354,1,-1.0,2022-11-09 09:00:00+00:00,23,0.025372079731229905,0.6285240464344941,True,0.1278240464344941,0.004685789181548328,0.9983884945538203,False,False
2022-11-09 00:30:00+00:00,0.03094516423132304,1,-1.0,2022-11-09 09:30:00+00:00,18,0.02095262875788548,0.6285240464344941,True,0.1278240464344941,0.0038384210219007107,0.9983884945538203,False,False
2022-11-09 03:30:00+00:00,0.026174507843605165,1,-1.0,2022-11-09 09:00:00+00:00,11,0.017680045765098004,0.6285240464344941,True,0.1278240464344941,0.0032109488212545096,0.9983884945538203,False,False
2022-11-09 05:00:00+00:00,0.02405229870234542,1,-1.0,2022-11-09 09:00:00+00:00,8,0.01622925889726175,0.6285240464344941,True,0.1278240464344941,0.002932780649313227,0.9983884945538203,False,False
